MUSICASSETTE,GENERIC,,
NASTRO ADESIVO,GENERIC,,
NASTRO PER REGALI,GENERIC,,
NEGATIVI FOTOGRAFICI,GENERIC,,
NEON,LANDFILL,LARGE,
NOCCIOLI (di frutta),HUMID,,
OCCHIALI (lenti),GLASS,,
OLIO VEGETALE,LANDFILL,,
OLIO MINERALE,LANDFILL,AUTHORIZED_DEALERS,
OMBRELLI,GENERIC,,
ORTAGGI,HUMID,,
OSSA (avanzi di cibo),HUMID,,
OVATTA,GENERIC,,
PADELLE,LANDFILL,LARGE,
PALLETTS,LANDFILL,,
PALLONI DA GIOCO,GENERIC,,
PANE,HUMID,,
PANNI ELETTROSTATICI PER LA POLVERE,GENERIC,,
PANNOLINI,GENERIC,,
PASTA ALIMENTARE,HUMID,,
RESIDUI DI PASTE ABRASIVE,LANDFILL,,
PELI,HUMID,,
PELLICOLA FOTOGRAFICA,GENERIC,,
PELUCHE,GENERIC,,
PENNE E PENNARELLI,GENERIC,,
PENNELLI,GENERIC,,
PENTOLE (secondo dimensioni),GLASS,LANDFILL,LARGE
PERSIANE E TAPPARELLE,LANDFILL,LARGE,
PESCE,HUMID,,
PETTINI,GENERIC,,
PHON PER CAPELLI,LANDFILL,LARGE,
PIANTE DOMESTICHE (piccole dimensioni),HUMID,,
PIANTE DOMESTICHE (grandi dimensioni),GREEN,LANDFILL,
PIASTRINE PER ZANZARE,GENERIC,,
PIATTI IN CERAMICA,LANDFILL,LARGE,
PIATTI IN PLASTIC,PLASTIC,,
PILE ESAUSTE,CONTENITORI STRADALI PILE,,
PIROFILE E TEGLIE IN PIREX,GENERIC,LANDFILL,
RESIDUI DI PIZZA,HUMID,,
PNEUMATICI,AUTHORIZED_DEALERS,,
CONFEZIONI IN POLISTIROLO (piccole dimensioni),PLASTIC,,
POLTRONA(piccole dimensioni),LANDFILL,LARGE,
POLVERE DELL’ASPIRAPOLVERE,GENERIC,,
PORCELLANA,LANDFILL,LARGE,
PORTE,LANDFILL,LARGE,
POSATE IN ACCIAIO,GLASS,,
POSATE IN PLASTIC,PLASTIC,,
PROFILATTICI,GENERIC,,
QUADERNI,PAPER,,
QUADRI,LANDFILL,LARGE,
QUOTIDIANI,PAPER,,
RACCHETTA DA TENNIS,GENERIC,,
"RADIO, HI – FI",LANDFILL,LARGE,
RAMAGLIE E VERDE,GREEN,LANDFILL,
RAME,LANDFILL,,
RASOI ELETTRICI,LANDFILL,LARGE,
RASOI USA E GETTA,GENERIC,,
REGGETTE PER LEGATURA PACCHI,GENERIC,,
RETI IN PLASTIC PER FRUTTA E VERDURA,PLASTIC,,
RETI METALLICHE E A DOGHE,LANDFILL,LARGE,
RIGHELLI,GENERIC,,
RIVISTE,PAPER,,
RUBINETTERIA,LANDFILL,LARGE,
RULLINO FOTOGRAFICO,GENERIC,,
SACCHETTI IN CARTA CON INTERNO PLASTIFICATO,GENERIC,,
SACCHETTI IN PLASTIC,PLASTIC,,
"SACCHETTI PER ALIMENTI IN PLASTIC (pasta, riso, merendine)",PLASTIC,,
SACCHETTI PER ASPIRAPOLVERE,GENERIC,,
SALVIETTINE UMIDIFICATE,GENERIC,,
SANITARI,LANDFILL,LARGE,
SAPONI E SAPONETTE,GENERIC,,
SCAFFALI (in ferro o legno),LANDFILL,LARGE,
SCALE,LANDFILL,LARGE,
SCANNER,LANDFILL,LARGE,
SCARPE E CIABATTE IN BUONO STATO,CLOTHES,,
SCARTI DI CUCINA,HUMID,,
SCATOLA PER PIZZA,PAPER,,
SCATOLONI (in carta),PAPER,,
SCHERMO DEL COMPUTER,LANDFILL,LARGE,
SCI,LANDFILL,LARGE,
SCOPA – SCOPINO WATER,GENERIC,,
SCOTCH,GENERIC,,
SCONTRINI FISCALI,GENERIC,,
SDRAIO,LANDFILL,LARGE,
SEDIA,LANDFILL,LARGE,
SFALCI,GREEN,LANDFILL,
SMALTI,LANDFILL,,
SOLVENTI,LANDFILL,,
SPAZZOLE,GENERIC,,
SPAZZOLINI,GENERIC,,
